HR,Height,Sex,SoR,Hand,WRT,Ecolor
89,63,F,L,L,20,GRN
82,66,F,L,R,18,GRN
80,69,M,L,R,17,BRN
68,67.5,M,R,L,20,BRN
64,66,F,R,R,21,BRN
74,64,F,R,R,17,HZL
76,71,M,R,R,25,BRN
48,75,M,R,R,20,BLU
56,60,F,L,R,16,BRN
60,71,M,L,R,22,BRN
64,67,M,R,R,18,BRN
70,64,F,R,R,20,BRN
48,66,F,L,R,18,BRN
84,65,F,R,R,15,HZL
70,61,F,L,R,20,BRN
70,65,F,L,R,11,OTH
74,69,M,R,R,17,BRN
72,71,M,R,R,23,BLU
58,66,M,R,R,23,BRN
78,65,F,L,R,17,BRN
62,69,F,L,R,19,BLU
62,72,M,R,R,22,BRN
80,67,F,R,R,20,BRN
62,63,F,L,R,15,BRN
76,64,F,L,R,14,BRN
70,70,M,L,R,20,BRN
76,72,M,R,R,22,HZL
44,66,F,L,R,13,BRN
62,71,M,L,R,23,HZL
88,68,F,L,R,15,BLU
78,65,F,R,R,21,BRN
92,70,F,L,R,17,BRN
116,69,M,L,R,15,BRN
84,66,F,L,R,2,BRN
100,66,F,L,R,16.5,OTH
68,69,M,L,R,20,BLU
52,70,M,R,R,20,BRN
84,63,F,R,R,14.5,GRN
68,63,F,R,R,18,BLU
80,65,F,R,R,18,BRN
56,71,M,R,R,15,BRN
52,67,F,L,R,19,BLU
72,68,M,L,R,17,BRN
84,63,F,R,R,15,BLU
72,60,F,R,R,16,BRN
76,63,F,L,L,16,BRN
93,68,M,L,R,22,BRN
88,62,F,R,R,13,BRN
60,63,F,R,R,15,BRN
68,66,F,R,L,12,BLU
56,72,M,R,R,25,BRN
84,72,M,R,R,20,HZL
68,65,F,L,R,14,BRN
88,60,F,R,R,15,BRN
64,67,M,L,R,52,BRN
72,70,F,L,R,15,GRN
